"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-10-25 10:17:40",1761387460396,"esteira-de-demandas.vercel.app/api/tickets/stats","GET","limit=20",-1,"9bwww-1761387459946-5fca296e8618","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","main","","lambda","/api/tickets/stats","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",-1,"iad1",-1,-1,"[glpiFetch] ERRO 400 Bad Request [""ERROR_SESSION_TOKEN_MISSING"",""o parâmetro session_token está faltando ou vazio; ver documentação em seu navegador em http://177.153.50.101/glpi/apirest.php/#ERROR_SESSION_TOKEN_MISSING""]","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZDD96DY5JQJAZZ5SVXPM","",-1
"2025-10-25 10:17:40",1761387460396,"esteira-de-demandas.vercel.app/api/tickets/stats","GET","limit=20",-1,"9bwww-1761387459946-5fca296e8618","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","info","production","main","","lambda","/api/tickets/stats","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",-1,"iad1",-1,-1,"[glpiFetch] 400 Bad Request https://chamados.jacontactcenter.com.br/apirest.php/search/Ticket?forcedisplay[0]=2&range=0-999","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZDD96DY5JQJAZZ5SVXPM","",-1
"2025-10-25 10:17:40",1761387460144,"esteira-de-demandas.vercel.app/api/tickets","GET","page=1&limit=20",-1,"hrpqw-1761387459945-5061b39ccfce","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","main","","lambda","/api/tickets","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",-1,"iad1",-1,-1,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/api/_glpi' imported from /var/task/api/tickets.js
    at finalizeResolution (node:internal/modules/esm/resolve:280:11)
    at moduleResolve (node:internal/modules/esm/resolve:865:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:989:14)
    at defaultResolve (node:internal/modules/esm/resolve:1032:79)
    at ModuleLoader.defaultResolve (node:internal/modules/esm/loader:783:12)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:707:25)
    at ModuleLoader.resolve (node:internal/modules/esm/loader:690:38)
    at ModuleLoader.getModuleJobForImport (node:internal/modules/esm/loader:307:38)
    at ModuleJob._link (node:internal/modules/esm/module_job:183:49)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/api/_glpi'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZDD6AMYXVEWRDW1GF1ZV","",-1
"2025-10-25 10:17:40",1761387460009,"esteira-de-demandas.vercel.app/api/tickets/stats","GET","limit=20",500,"9bwww-1761387459946-5fca296e8618","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","main","","lambda","/api/tickets/stats","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",378,"iad1",107,2048,"","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZDD96DY5JQJAZZ5SVXPM","RsBipUiIh4pE",1
"2025-10-25 10:17:40",1761387460006,"esteira-de-demandas.vercel.app/api/tickets","GET","page=1&limit=20",500,"hrpqw-1761387459945-5061b39ccfce","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","main","","lambda","/api/tickets","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",119,"iad1",76,2048,"","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZDD6AMYXVEWRDW1GF1ZV","",1
"2025-10-25 10:17:32",1761387452228,"esteira-de-demandas.vercel.app/api/tickets/stats","GET","limit=20",-1,"9bwww-1761387451771-00102ecb73fc","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","main","","lambda","/api/tickets/stats","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",-1,"iad1",-1,-1,"[glpiFetch] ERRO 400 Bad Request [""ERROR_SESSION_TOKEN_MISSING"",""o parâmetro session_token está faltando ou vazio; ver documentação em seu navegador em http://177.153.50.101/glpi/apirest.php/#ERROR_SESSION_TOKEN_MISSING""]","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZ5DZ7CWTVYZSE8HBFS5G","",-1
"2025-10-25 10:17:32",1761387452228,"esteira-de-demandas.vercel.app/api/tickets/stats","GET","limit=20",-1,"9bwww-1761387451771-00102ecb73fc","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","info","production","main","","lambda","/api/tickets/stats","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",-1,"iad1",-1,-1,"[glpiFetch] 400 Bad Request https://chamados.jacontactcenter.com.br/apirest.php/search/Ticket?forcedisplay[0]=2&range=0-999","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZ5DZ7CWTVYZSE8HBFS5G","",-1
"2025-10-25 10:17:31",1761387451839,"esteira-de-demandas.vercel.app/api/tickets/stats","GET","limit=20",500,"9bwww-1761387451771-00102ecb73fc","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","main","","lambda","/api/tickets/stats","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",381,"iad1",107,2048,"","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZ5DZ7CWTVYZSE8HBFS5G","RsBipUiIh4pE",1
"2025-10-25 10:17:31",1761387451443,"esteira-de-demandas.vercel.app/api/tickets","GET","page=1&limit=20",-1,"j78rw-1761387451239-90547670c8d5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","main","","lambda","/api/tickets","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",-1,"iad1",-1,-1,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/api/_glpi' imported from /var/task/api/tickets.js
    at finalizeResolution (node:internal/modules/esm/resolve:280:11)
    at moduleResolve (node:internal/modules/esm/resolve:865:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:989:14)
    at defaultResolve (node:internal/modules/esm/resolve:1032:79)
    at ModuleLoader.defaultResolve (node:internal/modules/esm/loader:783:12)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:707:25)
    at ModuleLoader.resolve (node:internal/modules/esm/loader:690:38)
    at ModuleLoader.getModuleJobForImport (node:internal/modules/esm/loader:307:38)
    at ModuleJob._link (node:internal/modules/esm/module_job:183:49)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/api/_glpi'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZ4XEK820WA41CD8FDT37","",-1
"2025-10-25 10:17:31",1761387451310,"esteira-de-demandas.vercel.app/api/tickets","GET","page=1&limit=20",500,"j78rw-1761387451239-90547670c8d5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","error","production","main","","lambda","/api/tickets","esteira-de-demandas.vercel.app","esteira-de-demandas.vercel.app","dpl_GCzZphrpyxrWTr9gXuJaad7fuBpb",118,"iad1",77,2048,"","prj_etfsqgW8r9R4uVXgENtbBfFjbroP","","","01K8DDZ4XEK820WA41CD8FDT37","",1
